RegionId;Code;Name;ЦДНГ
1;MS0603;Источное;1
1;MS0253;Карамовское;1
1;MS0335;Отдельное;1
1;MS0283;Пограничное;1
1;MS0228;Спорышевское;1
1;MS0558;Средне-Итурское;1
1;MS0227;Холмогорское;1
1;MS0404;Южно-Ноябрьское;1
2;MS0255;Восточно-Пякутинское;2
2;MS0602;Западно-Суторминское;2
2;MS0256;Крайнее;2
2;MS0235;Новое;2
2;MS0254;Суторминское;2
2;MS0551;Малопякутинское;3
2;MS0237;Муравленковское;3
2;MS0300;Пякутинское;3
2;MS0613;Романовское;3
2;MS0452;Северо-Пямалияхское;3
2;MS0988;Северо-Янгтинское;3
2;MS0611;Сугмутское;3
2;MS0562;Умсейское+Южно-Пурпейское;3
1;MS0313;Вынгапуровское;7
1;MS0380;Новогоднее;7
1;MS0328;Ярайнерское;7
2;MS0935;Валынтойское;10
2;MS0286;Вынгаяхинское;10
2;MS0563;Еты-Пуровское;10
1;MS0931;Воргенское;НГДП ОГМ
1;MS0640;Западно-Чатылькинское;НГДП ОГМ
1;MS0178;Равнинное;НГДП ОГМ
1;MS0728;Холмистое;НГДП ОГМ
1;MS0849;Чатылькинское;НГДП ОГМ
1;MS0282;Южно-Удмуртское;НГДП ОГМ
1;MS0589;Западно-Ноябрьское;ОТСУТСТВУЕТ
